#X--Trace 1::[V(mcu1a)],Y--Trace 1::[V(mcu1a)],X--Trace 2::[V(va)-V(vb)],Y--Trace 2::[V(va)-V(vb)],X--Trace 3::[I(RA)],Y--Trace 3::[I(RA)]
0,0,0,6.93889e-18,0,1.10492e-18
1e-11,0,1e-11,-5.22499e-15,1e-11,-8.32004e-16
2e-11,0,2e-11,-4.34722e-15,2e-11,-6.92232e-16
4e-11,0,4e-11,-6.77236e-15,4e-11,-1.0784e-15
8e-11,0,8e-11,-5.00988e-15,8e-11,-7.97752e-16
1.6e-10,0,1.6e-10,-1.53558e-14,1.6e-10,-2.44519e-15
3.2e-10,0,3.2e-10,-1.22159e-14,3.2e-10,-1.94521e-15
6.4e-10,0,6.4e-10,-2.16979e-14,6.4e-10,-3.45508e-15
1.28e-09,0,1.28e-09,-1.72258e-14,1.28e-09,-2.74296e-15
2.28e-09,0,2.28e-09,-2.56739e-15,2.28e-09,-4.0882e-16
3.28e-09,0,3.28e-09,-1.57513e-15,3.28e-09,-2.50817e-16
4.28e-09,0,4.28e-09,-5.31519e-15,4.28e-09,-8.46368e-16
5.28e-09,0,5.28e-09,-3.9517e-15,5.28e-09,-6.29252e-16
6.28e-09,0,6.28e-09,-4.94049e-15,6.28e-09,-7.86703e-16
7.28e-09,0,7.28e-09,-3.20577e-15,7.28e-09,-5.10473e-16
8.28e-09,0,8.28e-09,-6.6995e-15,8.28e-09,-1.0668e-15
9.28e-09,0,9.28e-09,-3.0774e-15,9.28e-09,-4.90032e-16
1e-08,0,1e-08,-1.81105e-15,1e-08,-2.88384e-16
1.00151e-08,0.00753235,1.00151e-08,2.2366e-06,1.00151e-08,3.56147e-07
1.00452e-08,0.022597,1.00452e-08,7.03903e-06,1.00452e-08,1.12086e-06
1.01055e-08,0.0527264,1.01055e-08,1.84992e-05,1.01055e-08,2.94573e-06
1.0226e-08,0.112985,1.0226e-08,4.84736e-05,1.0226e-08,7.71872e-06
1.0467e-08,0.233503,1.0467e-08,0.000138624,1.0467e-08,2.20739e-05
1.09491e-08,0.474538,1.09491e-08,0.000442723,1.09491e-08,7.04973e-05
1.17942e-08,0.897103,1.17942e-08,0.00127026,1.17942e-08,0.000202271
1.24003e-08,1.20016,1.24003e-08,0.0022345,1.24003e-08,0.000355813
1.30674e-08,1.53372,1.30674e-08,0.00355662,1.30674e-08,0.000566341
1.40674e-08,2.03372,1.40674e-08,0.00567556,1.40674e-08,0.000903751
1.50674e-08,2.53372,1.50674e-08,0.00780573,1.50674e-08,0.00124295
1.60674e-08,3.03372,1.60674e-08,0.00991822,1.60674e-08,0.00157933
1.70674e-08,3.53372,1.70674e-08,0.0120187,1.70674e-08,0.0019138
1.80674e-08,4.03372,1.80674e-08,0.0141121,1.80674e-08,0.00224714
1.90674e-08,4.53372,1.90674e-08,0.0162073,1.90674e-08,0.00258078
2e-08,5,2e-08,0.0181677,2e-08,0.00289295
2.01e-08,5,2.01e-08,0.0183365,2.01e-08,0.00291983
2.03e-08,5,2.03e-08,0.0186472,2.03e-08,0.00296929
2.07e-08,5,2.07e-08,0.0191699,2.07e-08,0.00305254
2.15e-08,5,2.15e-08,0.0200631,2.15e-08,0.00319476
2.25e-08,5,2.25e-08,0.0211183,2.25e-08,0.00336279
2.35e-08,5,2.35e-08,0.0221925,2.35e-08,0.00353384
2.45e-08,5,2.45e-08,0.0232901,2.45e-08,0.00370862
2.55e-08,5,2.55e-08,0.0244117,2.55e-08,0.00388721
2.65e-08,5,2.65e-08,0.0255547,2.65e-08,0.00406922
2.75e-08,5,2.75e-08,0.0267182,2.75e-08,0.00425449
2.85e-08,5,2.85e-08,0.0278989,2.85e-08,0.00444251
2.95e-08,5,2.95e-08,0.0290952,2.95e-08,0.00463299
3.05e-08,5,3.05e-08,0.0303034,3.05e-08,0.00482538
3.15e-08,5,3.15e-08,0.0315191,3.15e-08,0.00501897
3.25e-08,5,3.25e-08,0.0327298,3.25e-08,0.00521176
3.35e-08,5,3.35e-08,0.0339201,3.35e-08,0.00540129
3.45e-08,5,3.45e-08,0.035078,3.45e-08,0.00558567
3.55e-08,5,3.55e-08,0.0362004,3.55e-08,0.00576439
3.65e-08,5,3.65e-08,0.0372861,3.65e-08,0.00593728
3.75e-08,5,3.75e-08,0.0383364,3.75e-08,0.00610452
3.85e-08,5,3.85e-08,0.0393516,3.85e-08,0.00626617
3.95e-08,5,3.95e-08,0.0403332,3.95e-08,0.00642248
4.05e-08,5,4.05e-08,0.041282,4.05e-08,0.00657357
4.15e-08,5,4.15e-08,0.0421998,4.15e-08,0.00671971
4.25e-08,5,4.25e-08,0.0430872,4.25e-08,0.00686102
4.35e-08,5,4.35e-08,0.043946,4.35e-08,0.00699777
4.45e-08,5,4.45e-08,0.0447772,4.45e-08,0.00713013
4.55e-08,5,4.55e-08,0.0455826,4.55e-08,0.00725837
4.65e-08,5,4.65e-08,0.0463634,4.65e-08,0.00738271
4.75e-08,5,4.75e-08,0.0471223,4.75e-08,0.00750355
4.85e-08,5,4.85e-08,0.0478621,4.85e-08,0.00762136
4.95e-08,5,4.95e-08,0.0485884,4.95e-08,0.007737
5.05e-08,5,5.05e-08,0.0493101,5.05e-08,0.00785193
5.15e-08,5,5.15e-08,0.0500452,5.15e-08,0.00796897
5.25e-08,5,5.25e-08,0.0508266,5.25e-08,0.00809341
5.35e-08,5,5.35e-08,0.0517164,5.35e-08,0.0082351
5.45e-08,5,5.45e-08,0.0528234,5.45e-08,0.00841138
5.55e-08,5,5.55e-08,0.0543138,5.55e-08,0.0086487
5.65e-08,5,5.65e-08,0.0563827,5.65e-08,0.00897814
5.75e-08,5,5.75e-08,0.0591501,5.75e-08,0.00941881
5.85e-08,5,5.85e-08,0.062547,5.85e-08,0.00995971
5.95e-08,5,5.95e-08,0.0663129,5.95e-08,0.0105594
6.05e-08,5,6.05e-08,0.0701112,6.05e-08,0.0111642
6.15e-08,5,6.15e-08,0.0736648,6.15e-08,0.0117301
6.25e-08,5,6.25e-08,0.0768124,6.25e-08,0.0122313
6.35e-08,5,6.35e-08,0.0794985,6.35e-08,0.012659
6.45e-08,5,6.45e-08,0.081738,6.45e-08,0.0130156
6.55e-08,5,6.55e-08,0.0835839,6.55e-08,0.0133095
6.65e-08,5,6.65e-08,0.0851048,6.65e-08,0.0135517
6.75e-08,5,6.75e-08,0.0863804,6.75e-08,0.0137548
6.85e-08,5,6.85e-08,0.0874993,6.85e-08,0.013933
6.95e-08,5,6.95e-08,0.0885945,6.95e-08,0.0141074
7.05e-08,5,7.05e-08,0.0899289,7.05e-08,0.0143199
7.15e-08,5,7.15e-08,0.0920141,7.15e-08,0.0146519
7.25e-08,5,7.25e-08,0.0955862,7.25e-08,0.0152207
7.35e-08,5,7.35e-08,0.101125,7.35e-08,0.0161026
7.45e-08,5,7.45e-08,0.108364,7.45e-08,0.0172554
7.55e-08,5,7.55e-08,0.116581,7.55e-08,0.0185638
7.65e-08,5,7.65e-08,0.125257,7.65e-08,0.0199454
7.75e-08,5,7.75e-08,0.134485,7.75e-08,0.0214148
7.85e-08,5,7.85e-08,0.145193,7.85e-08,0.0231199
7.95e-08,5,7.95e-08,0.159033,7.95e-08,0.0253238
8.05e-08,5,8.05e-08,0.177192,8.05e-08,0.0282153
8.15e-08,5,8.15e-08,0.198875,8.15e-08,0.031668
8.25e-08,5,8.25e-08,0.221751,8.25e-08,0.0353107
8.35e-08,5,8.35e-08,0.24395,8.35e-08,0.0388455
8.45e-08,5,8.45e-08,0.266485,8.45e-08,0.0424338
8.55e-08,5,8.55e-08,0.297624,8.55e-08,0.0473924
8.65e-08,5,8.65e-08,0.34719,8.65e-08,0.055285
8.75e-08,5,8.75e-08,0.410821,8.75e-08,0.0654173
8.85e-08,5,8.85e-08,0.479444,8.85e-08,0.0763445
8.95e-08,5,8.95e-08,0.549034,8.95e-08,0.0874258
9.05e-08,5,9.05e-08,0.618336,9.05e-08,0.0984611
9.15e-08,5,9.15e-08,0.686768,9.15e-08,0.109358
9.25e-08,5,9.25e-08,0.753922,9.25e-08,0.120051
9.35e-08,5,9.35e-08,0.819471,9.35e-08,0.130489
9.45e-08,5,9.45e-08,0.883162,9.45e-08,0.140631
9.55e-08,5,9.55e-08,0.944812,9.55e-08,0.150448
9.65e-08,5,9.65e-08,1.00429,9.65e-08,0.159918
9.75e-08,5,9.75e-08,1.06149,9.75e-08,0.169028
9.85e-08,5,9.85e-08,1.11637,9.85e-08,0.177765
9.95e-08,5,9.95e-08,1.16888,9.95e-08,0.186128
1.005e-07,5,1.005e-07,1.21901,1.005e-07,0.194109
1.015e-07,5,1.015e-07,1.26674,1.015e-07,0.201711
1.025e-07,5,1.025e-07,1.31212,1.025e-07,0.208937
1.035e-07,5,1.035e-07,1.35519,1.035e-07,0.215795
1.045e-07,5,1.045e-07,1.396,1.045e-07,0.222293
1.055e-07,5,1.055e-07,1.43462,1.055e-07,0.228443
1.065e-07,5,1.065e-07,1.47114,1.065e-07,0.234258
1.075e-07,5,1.075e-07,1.50564,1.075e-07,0.239752
1.085e-07,5,1.085e-07,1.53823,1.085e-07,0.244942
1.095e-07,5,1.095e-07,1.56902,1.095e-07,0.249844
1.105e-07,5,1.105e-07,1.59812,1.105e-07,0.254478
1.115e-07,5,1.115e-07,1.62566,1.115e-07,0.258862
1.125e-07,5,1.125e-07,1.65174,1.125e-07,0.263017
1.135e-07,5,1.135e-07,1.67652,1.135e-07,0.266962
1.145e-07,5,1.145e-07,1.7001,1.145e-07,0.270717
1.155e-07,5,1.155e-07,1.72262,1.155e-07,0.274303
1.165e-07,5,1.165e-07,1.74421,1.165e-07,0.277741
