#X--Trace 1::[V(mcu1a)],Y--Trace 1::[V(mcu1a)],X--Trace 2::[V(va)-V(vb)],Y--Trace 2::[V(va)-V(vb)],X--Trace 3::[I(RA)],Y--Trace 3::[I(RA)]
0,0,0,-6.93889e-18,0,-3.63293e-19
1e-11,0,1e-11,1.19002e-15,1e-11,6.23047e-17
2e-11,0,2e-11,-7.00828e-15,2e-11,-3.66926e-16
4e-11,0,4e-11,-3.24046e-15,4e-11,-1.69658e-16
8e-11,0,8e-11,8.47239e-15,8e-11,4.43581e-16
1.6e-10,0,1.6e-10,6.6197e-15,1.6e-10,3.46581e-16
3.2e-10,0,3.2e-10,3.88578e-15,3.2e-10,2.03444e-16
6.4e-10,0,6.4e-10,2.98372e-16,6.4e-10,1.56216e-17
1.28e-09,0,1.28e-09,1.10675e-15,1.28e-09,5.79452e-17
2.28e-09,0,2.28e-09,7.06726e-15,2.28e-09,3.70014e-16
3.28e-09,0,3.28e-09,6.39766e-15,3.28e-09,3.34956e-16
4.28e-09,0,4.28e-09,-7.31012e-15,4.28e-09,-3.82729e-16
5.28e-09,0,5.28e-09,4.19803e-16,5.28e-09,2.19792e-17
6.28e-09,0,6.28e-09,-3.33067e-15,6.28e-09,-1.74381e-16
7.28e-09,0,7.28e-09,-5.44703e-15,7.28e-09,-2.85185e-16
8.28e-09,0,8.28e-09,-2.42167e-15,8.28e-09,-1.26789e-16
9.23e-09,0,9.23e-09,-2.08167e-15,9.23e-09,-1.08988e-16
1e-08,0,1e-08,-2.55351e-15,1e-08,-1.33692e-16
1.0016e-08,0.00799164,1.0016e-08,2.97159e-06,1.0016e-08,1.5558e-07
1.00479e-08,0.0239749,1.00479e-08,9.49744e-06,1.00479e-08,4.97248e-07
1.01119e-08,0.0559415,1.01119e-08,2.59497e-05,1.01119e-08,1.35863e-06
1.02397e-08,0.119875,1.02397e-08,7.2706e-05,1.02397e-08,3.8066e-06
1.04955e-08,0.247741,1.04955e-08,0.00023014,1.04955e-08,1.20492e-05
1.10069e-08,0.503474,1.10069e-08,0.000835857,1.10069e-08,4.37621e-05
1.17498e-08,0.874915,1.17498e-08,0.00234906,1.17498e-08,0.000122987
1.23231e-08,1.16153,1.23231e-08,0.0042587,1.23231e-08,0.000222969
1.29636e-08,1.48181,1.29636e-08,0.00711878,1.29636e-08,0.000372711
1.39636e-08,1.98181,1.39636e-08,0.0124865,1.39636e-08,0.000653744
1.49636e-08,2.48181,1.49636e-08,0.0183589,1.49636e-08,0.000961197
1.59636e-08,2.98181,1.59636e-08,0.0243788,1.59636e-08,0.00127638
1.69636e-08,3.48181,1.69636e-08,0.0304239,1.69636e-08,0.00159288
1.79636e-08,3.98181,1.79636e-08,0.0364598,1.79636e-08,0.00190889
1.89636e-08,4.48181,1.89636e-08,0.042489,1.89636e-08,0.00222455
1.94636e-08,4.73181,1.94636e-08,0.0455038,1.94636e-08,0.0023824
2e-08,5,2e-08,0.0487424,2e-08,0.00255196
2.01e-08,5,2.01e-08,0.0492889,2.01e-08,0.00258057
2.03e-08,5,2.03e-08,0.0503343,2.03e-08,0.0026353
2.07e-08,5,2.07e-08,0.0522026,2.07e-08,0.00273312
2.15e-08,5,2.15e-08,0.0553692,2.15e-08,0.00289891
2.25e-08,5,2.25e-08,0.0587631,2.25e-08,0.0030766
2.35e-08,5,2.35e-08,0.0619311,2.35e-08,0.00324247
2.45e-08,5,2.45e-08,0.0650592,2.45e-08,0.00340624
2.55e-08,5,2.55e-08,0.068215,2.55e-08,0.00357147
2.65e-08,5,2.65e-08,0.0714194,2.65e-08,0.00373924
2.75e-08,5,2.75e-08,0.0746785,2.75e-08,0.00390987
2.85e-08,5,2.85e-08,0.0779893,2.85e-08,0.00408321
2.95e-08,5,2.95e-08,0.0813479,2.95e-08,0.00425905
3.05e-08,5,3.05e-08,0.0847471,3.05e-08,0.00443702
3.15e-08,5,3.15e-08,0.0881808,3.15e-08,0.0046168
3.25e-08,5,3.25e-08,0.0916405,3.25e-08,0.00479793
3.35e-08,5,3.35e-08,0.0951129,3.35e-08,0.00497973
3.45e-08,5,3.45e-08,0.0985705,3.45e-08,0.00516076
3.55e-08,5,3.55e-08,0.101979,3.55e-08,0.00533923
3.65e-08,5,3.65e-08,0.105312,3.65e-08,0.00551372
3.75e-08,5,3.75e-08,0.108555,3.75e-08,0.0056835
3.85e-08,5,3.85e-08,0.111702,3.85e-08,0.00584826
3.95e-08,5,3.95e-08,0.114752,3.95e-08,0.00600798
4.05e-08,5,4.05e-08,0.117708,4.05e-08,0.0061627
4.15e-08,5,4.15e-08,0.12057,4.15e-08,0.00631256
4.25e-08,5,4.25e-08,0.123342,4.25e-08,0.00645769
4.35e-08,5,4.35e-08,0.126027,4.35e-08,0.00659827
4.45e-08,5,4.45e-08,0.128628,4.45e-08,0.00673445
4.55e-08,5,4.55e-08,0.131149,4.55e-08,0.00686642
4.65e-08,5,4.65e-08,0.133592,4.65e-08,0.00699435
4.75e-08,5,4.75e-08,0.135963,4.75e-08,0.00711846
4.85e-08,5,4.85e-08,0.138264,4.85e-08,0.00723896
4.95e-08,5,4.95e-08,0.140503,4.95e-08,0.00735617
5.05e-08,5,5.05e-08,0.142686,5.05e-08,0.0074705
5.15e-08,5,5.15e-08,0.144829,5.15e-08,0.00758265
5.25e-08,5,5.25e-08,0.146952,5.25e-08,0.00769381
5.35e-08,5,5.35e-08,0.149099,5.35e-08,0.00780621
5.45e-08,5,5.45e-08,0.151347,5.45e-08,0.00792393
5.55e-08,5,5.55e-08,0.153841,5.55e-08,0.00805448
5.65e-08,5,5.65e-08,0.156826,5.65e-08,0.00821078
5.75e-08,5,5.75e-08,0.160675,5.75e-08,0.00841232
5.85e-08,5,5.85e-08,0.165833,5.85e-08,0.00868234
5.95e-08,5,5.95e-08,0.172613,5.95e-08,0.00903731
6.05e-08,5,6.05e-08,0.180965,6.05e-08,0.00947463
6.15e-08,5,6.15e-08,0.190426,6.15e-08,0.00996994
6.25e-08,5,6.25e-08,0.200292,6.25e-08,0.0104865
6.35e-08,5,6.35e-08,0.209892,6.35e-08,0.0109891
6.45e-08,5,6.45e-08,0.21875,6.45e-08,0.0114529
6.55e-08,5,6.55e-08,0.226622,6.55e-08,0.011865
6.65e-08,5,6.65e-08,0.233444,6.65e-08,0.0122222
6.75e-08,5,6.75e-08,0.239272,6.75e-08,0.0125273
6.85e-08,5,6.85e-08,0.244221,6.85e-08,0.0127865
6.95e-08,5,6.95e-08,0.248436,6.95e-08,0.0130071
7.05e-08,5,7.05e-08,0.252067,7.05e-08,0.0131972
7.15e-08,5,7.15e-08,0.25528,7.15e-08,0.0133654
7.25e-08,5,7.25e-08,0.258288,7.25e-08,0.013523
7.35e-08,5,7.35e-08,0.26149,7.35e-08,0.0136906
7.45e-08,5,7.45e-08,0.265709,7.45e-08,0.0139115
7.55e-08,5,7.55e-08,0.272299,7.55e-08,0.0142565
7.65e-08,5,7.65e-08,0.282512,7.65e-08,0.0147912
7.75e-08,5,7.75e-08,0.296505,7.75e-08,0.0155238
7.85e-08,5,7.85e-08,0.313273,7.85e-08,0.0164017
7.95e-08,5,7.95e-08,0.33156,7.95e-08,0.0173592
8.05e-08,5,8.05e-08,0.350771,8.05e-08,0.018365
8.15e-08,5,8.15e-08,0.371428,8.15e-08,0.0194465
8.25e-08,5,8.25e-08,0.395201,8.25e-08,0.0206912
8.35e-08,5,8.35e-08,0.424098,8.35e-08,0.0222041
8.45e-08,5,8.45e-08,0.458727,8.45e-08,0.0240171
8.55e-08,5,8.55e-08,0.497249,8.55e-08,0.026034
8.65e-08,5,8.65e-08,0.536404,8.65e-08,0.028084
